"DateTime","Temperature","Humidity","WindSpeed","GenDiffFlows","DiffFlows","PCZone1","PCZone2","PCZone3"
"24625","6/21/2017 0:00",21.86,77,0.081,0.073,0.111,44554.17219,24750.93555,26980.43077
"24626","6/21/2017 0:10",21.91,76,0.077,0.077,0.096,44249.00662,24612.47401,26631.87692
"24627","6/21/2017 0:20",21.96,75.5,0.081,0.055,0.096,43753.11258,24339.29314,26141.53846
"24628","6/21/2017 0:30",21.83,75.1,0.078,0.062,0.163,43079.2053,24208.31601,26052.92308
"24629","6/21/2017 0:40",21.6,75.8,0.075,0.048,0.145,42634.17219,23927.65073,25887.50769
"24630","6/21/2017 0:50",21.47,76.1,0.075,0.055,0.111,42341.72185,23733.05613,25781.16923
"24631","6/21/2017 1:00",21.35,76.4,0.076,0.062,0.115,41985.69536,23882.74428,25733.90769
"24632","6/21/2017 1:10",21.22,76.9,0.078,0.069,0.148,41833.11258,23901.4553,25769.35385
"24633","6/21/2017 1:20",21.07,77.3,0.075,0.077,0.093,41947.54967,24170.89397,25739.81538
"24634","6/21/2017 1:30",20.94,77.7,0.07,0.048,0.133,42265.43046,24144.69854,25928.86154
"24635","6/21/2017 1:40",20.81,78.3,0.073,0.073,0.111,42926.62252,24182.12058,26106.09231
"24636","6/21/2017 1:50",20.72,78.7,0.075,0.055,0.122,43511.52318,24241.99584,26377.84615
"24637","6/21/2017 2:00",20.64,79,0.076,0.059,0.126,44134.56954,24545.11435,26673.23077
"24638","6/21/2017 2:10",20.58,79.4,0.075,0.055,0.137,44083.70861,24837.00624,26395.56923
"24639","6/21/2017 2:20",20.51,79.8,0.078,0.051,0.145,43384.37086,24474.01247,26123.81538
"24640","6/21/2017 2:30",20.49,80.1,0.076,0.055,0.159,42723.17881,24088.56549,25911.13846
"24641","6/21/2017 2:40",20.45,80.2,0.077,0.051,0.141,41616.95364,23411.22661,25302.64615
"24642","6/21/2017 2:50",20.46,80.3,0.079,0.051,0.107,41222.78146,22872.34927,24735.50769
"24643","6/21/2017 3:00",20.43,80.4,0.077,0.055,0.133,40091.12583,22352.18295,23967.50769
"24644","6/21/2017 3:10",20.4,80.5,0.079,0.029,0.133,38845.03311,21641.16424,22963.2
"24645","6/21/2017 3:20",20.41,80.6,0.077,0.055,0.133,37153.90728,20810.39501,21917.53846
"24646","6/21/2017 3:30",20.44,80.7,0.076,0.066,0.104,35259.33775,20204.158,21196.8
